Noise,True_V,Primary_V,Winner,Rg_meas,Yg100,Yg210,Ym210,V_all
-597.0505701832946,0.003999999999999999,-0.049618824642001416,Nearest_Fallback,5.110498279100326,271.59241351186085,-3979.9947434283513,4198.235632997436,[-0.049618824642001416]
-597.0505701832946,0.004642958796619732,,Nearest_Fallback,5.184469878771569,751.7539872351234,971.6481481442288,11596.30335018351,[nan]
-597.0505701832946,0.005333814331877817,,Nearest_Fallback,5.138068768390939,123.09166135682965,-10279.642149690888,5520.163078766778,[nan]
-597.0505701832946,0.006072566605774254,0.02226857337422271,Unique_Solution,5.218212388326921,565.5967382175093,10.766293764626917,8361.102135958618,[0.02226857337422271]
-597.0505701832946,0.006859215618309043,0.06383880749213312,Consensus_Selection,5.281430196131138,631.2015923224905,220.49056035907077,4806.527505263774,"[0.06383880749213312, 0.26051319157907]"
-597.0505701832946,0.007693761369482185,0.21835823996203305,Nearest_Fallback,5.301983877230713,656.9837133877071,483.44106578442563,6230.35462420038,[0.21835823996203305]
-597.0505701832946,0.008576203859293679,-0.04342454803759871,Nearest_Fallback,5.336575196153638,299.03130763980784,-3851.589538489631,6371.886300511927,[-0.04342454803759871]
-597.0505701832946,0.009506543087743522,,Nearest_Fallback,5.370089067169233,717.9368700210043,480.7541126709618,-5837.784351994502,[nan]
-597.0505701832946,0.010484779054831722,,Nearest_Fallback,5.368356616396887,958.4587285616362,1321.7150221176403,3591.284877799927,[nan]
-597.0505701832946,0.01151091176055827,-0.02558007673213259,Nearest_Fallback,5.405475594282673,377.00904382593916,-2168.7386553889905,4400.786922212999,[-0.02558007673213259]
-597.0505701832946,0.012584941204923174,,Nearest_Fallback,5.409090608116525,761.6387741892636,1122.1368944963747,3420.457548906634,[nan]
-597.0505701832946,0.01370686738792643,-0.004254691211942924,Nearest_Fallback,5.490458658566745,470.2027138728169,-560.0695823806731,3898.2506859168866,[-0.004254691211942924]
-597.0505701832946,0.014876690309568036,,Nearest_Fallback,5.51502521095812,245.2413902635978,-4448.434534643973,86745.11889376522,[nan]
-597.0505701832946,0.01609440996984799,0.06163930261569064,Consensus_Selection,5.534240890923684,629.6419636717968,283.78783652770306,4892.549517866064,"[0.06163930261569064, 0.2707076049235117]"
-597.0505701832946,0.017360026368766306,-0.017289745044156618,Nearest_Fallback,5.574668881334741,413.488209918984,-1538.8987967109495,3824.1937786562144,[-0.017289745044156618]
-597.0505701832946,0.018673539506322973,,Nearest_Fallback,5.607448378239582,45.820413718052286,-38671.62731226836,3750.9998881604092,[nan]
